Query_num,Tweet_id,Rank
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
[0],"[""['1285983754016690184', '1286014787315539975', '1285981182564466688', '1286111941094711298', '1286306220475744256', '1286000646773235712', '1285935696604270593', '1287506745405976576', '1285963651942359040', '1285952230491934721', '1286680524728283139', '1285963137901092866', '1286374298043785216', '1286539351904653313', '1286303736063823873', '1291804521300099073', '1287031485434933249', '1291290508837310464', '1290979023724650496', '1291057978553053190', '1290972022604873729', '1291040881852571650', '1290961479684874242', '1291049018945155073', '1291073122448412672', '1291097680207380483', '1291098204352720904', '1291020201085923330', '1291051034874241024', '1291043205933338624', '1290909596425617409', '1291798277222993923', '1291799431000526848', '1291796425462906888', '1291801361449877505', '1291796761464524802', '1291803037158322177', '1287071648647131137', '1291800162260541440', '1288837045935366144', '1291687281800118274', '1291810094745817089', '1291810114572300289', '1291202906604089346', '1288851509652918272', '1288829169502044160', '1288838013523566592', '1288847658879254534', '1288851025097613312', '1288828361414979585', '1288833636524056578', '1288845590659584000', '1288843779244515329', '1288829340679991298', '1288852293371256832', '1288844861211389954']""]"
